Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat,p_form_ungrammatical_erg,I_form_ungrammatical_erg,certainty
0,wiki_cultural_00812,2,"კულტურათა [MASK] ეწოდება უშუალო კავშირურთიერთობის სახეს, რომელიც ყალიბდება, სულ მცირე, ორ კულტურას შორის, აგრეთვე ამ ურთიერთობათა შედეგად წარმოშობილ გავლენებსა და ორმხრივ ცვლილებებს.",ურთიერთქმედება,ურთიერთქმედებას,ურთიერთქმედებამ,1.6950220874505587e-31,102.21846686859041,2.0821482303343843e-31,101.9216981622292,2.4655498550701974e-37,121.60943008543798,0.63
1,wiki_customs_00815,17,აზერბაიჯანის სახელმწიფო საბაჟო კომიტეტს (აზერ. Azərbaycan Respublikası Dövlət Gömrük Komitəsi) ეკისრება იმპორტ-ექსპორტის ოპერაციების საბაჟო [MASK] და საბაჟო ორგანიზაციების ფუნქციები აზერბაიჯანის რესპუბლიკაში.,კონტროლი,კონტროლს,კონტროლმა,1.5541462453617343e-17,55.836655345162676,1.4113825435599866e-17,55.97566854159432,1.2017631210947366e-17,56.20762505788481,0.63
2,wiki_cybernetics_00846,27,"ხელოვნური ინტელექტი (ინგლ. artificial intelligence, შემოკლებით AI) — კომპიუტერული მეცნიერების დარგი, რომელიც მიზნად ისახავს ინტელექტუალურ კომპიუტერულ მანქანის/პროგრამის შექმნას რომელსაც ექნება [MASK] მიაღწიოს ადამიანის ინტელექტის გაგებას.",უნარი,უნარს,უნარმა,2.919913398120743e-11,34.995283462996284,3.0015057665060806e-18,58.20901926829299,1.4512800798789316e-17,55.93545164374285,0.63
3,wiki_documentary_00893,3,მუშნის არსებობას [MASK] ეკარგება და იგი ნოსტალგიით იტანჯება.,აზრი,აზრს,აზრმა,9.89063333726222e-12,36.55707423310659,6.11336925241676e-11,33.929241334086356,8.607209235913096e-12,36.75759159837352,0.63
4,wiki_entomology_01083,8,მატლს — მუხლუხოს აქვს მღრღნელი ტიპის პირის [MASK].,აპარატი,აპარატს,აპარატმა,7.053402517280649e-18,56.976386335477976,1.2425424627832495e-17,56.1594824576356,1.461513269895122e-22,72.53495515928462,0.63
5,wiki_entomology_01088,7,უკანა ნაწლავს ეკუთვნის მსხვილი და სწორი [MASK].,ნაწლავი,ნაწლავს,ნაწლავმა,4.423577207579255e-22,70.93720458388356,4.176406921092874e-22,71.02015580223245,6.518566358070618e-22,70.37786338311606,0.63
6,wiki_ethics_01132,6,"ეთიკის კოდექსს არ გააჩნია კანონის [MASK] და ემყარება ადამიანთა ჯგუფის მიერ დადგენილ წესებს, რომლებიც თავის მხრივ ითვალისწინებენ საზოგადოებაში დადგენილ მორალურ წესებს და საერთაშორისოდ აღიარებულ ნორმებს ამა თუ იმ სფეროში.",ძალა,ძალას,ძალამ,3.546100515450232e-06,18.105335138816184,1.385281368887178e-11,36.071030007363355,5.3780376153183185e-11,34.11412919795083,0.63
7,wiki_farming_01204,3,"დიდი სასურსათო [MASK] აქვს კვერცხს, რომლისთვისაც ამრავლებენ საკვერცხე მიმართულების ქათმებს.",მნიშვნელობა,მნიშვნელობას,მნიშვნელობამ,4.725275630335095e-06,17.691170083605353,1.3920303132941327e-11,36.06401841564694,8.350662566075843e-12,36.8012464688617,0.63
8,wiki_geology_01367,3,გეოლოგიას მრავალსაუკუნოვანი [MASK] აქვს.,ისტორია,ისტორიას,ისტორიამ,4.1242105908168014e-07,21.209378662599082,1.3574234233745633e-12,39.42226632539505,9.741626545905257e-13,39.90090255632098,0.63
9,wiki_geophysics_01392,18,"ეს იყო ხანა, როდესაც დედამიწის მაგნეტიზმს, მეტეოროლოგიას და დედამიწის შემსწავლელ სხვა დარგებს ფართო მასშტაბით ჩაეყარათ [MASK].",საფუძველი,საფუძველს,საფუძველმა,1.891456722615551e-11,35.62171127651047,9.952100629842849e-12,36.54813606541443,8.489871611317527e-12,36.77739440196262,0.63
