Index,sentence_id,match_id,masked_text,form_grammatical_dat,form_ungrammatical_erg,form_ungrammatical_nom,p_form_grammatical_dat,I_form_grammatical_dat,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_erg,I_form_ungrammatical_erg,certainty
0,wiki_cybernetics_00839,14,"ეკონომიკური კიბერნეტიკა — მეცნიერების დარგი, რომელიც სწავლობს კიბერნეტიკის ზოგადი კანონებისა და მეთოდების [MASK] ეკონომიკური პროცესების მართვასა და რეგულირებაში.",გამოყენებას,გამოყენებამ,გამოყენება,0.43331108516134975,1.2065249501244737,0.44351935386657715,1.172931034063135,0.00018150650152589504,12.427691153360517,0.9
1,wiki_education_00952,9,"პროფესიული განათლება — განათლების სახე, რომელიც უზრუნველყოფს [MASK] კონკრეტულ პროფესიულ სფეროში დასაქმებისათვის საჭირო ცოდნითა და უნარ-ჩვევებით.",ადამიანს,ადამიანმა,ადამიანი,0.4885514974594116,1.033417452420403,0.012152701616287226,6.362579120786686,9.493585619091704e-08,23.32847167945251,0.84
2,wiki_engineering_01057,14,"ნეიროინჟინერიის საფუძვლები ნეირონების, ნერვული ქსელებისა და ნერვული სისტემების ფუნქციების გაზომვად მოდელებს შორის [MASK] მოიცავს, რაც გულისხმობს იმ ხელსაწყოებისა და ტექნიკის განვითარების ხელშეწყობას, რომელთა საშუალებითაც სიგნალების კონტროლი, გადართაგმნა და შესაბამისი პასუხის მოძებნაა შესაძლებელი.",კავშირს,კავშირმა,კავშირი,2.4749197272177776e-06,18.624186836464418,0.1337154507637024,2.9027619170231946,7.538592119545954e-12,36.94884202255518,0.71
3,wiki_fantasy_01175,7,"ეპიკური ფენტეზი — ფენტეზის ქვეჟანრი, [MASK] ახასიათებს გამოგონილი სამყაროს გარემო ან ეპიკური პერსონაჟები, თემები და სიუჟეტი.",რომელსაც,რომელმაც,რომელიც,0.9767873883247375,0.03388352162881312,0.001361939357593656,9.520121818057074,1.5284782421076677e-05,15.997544458833968,0.99
4,wiki_geochemistry_01316,5,"პლანეტოლოგია მიეკუთვნება დისციპლინათშორის სამეცნიერო [MASK], რომელიც თავდაპირველად ჩამოყალიბდა როგორც დედამიწის და ფიზიკის შემსწავლელი მეცნიერება.",დარგს,დარგმა,დარგი,0.0008661161960196754,10.173151793193204,1.1123028595448683e-05,16.45609081364739,1.212041405653244e-07,22.976057679336115,0.79
5,wiki_geology_01373,11,"ისტორიული გეოლოგია — გეოლოგიის დარგი, რომელიც შეისწავლის დედამიწის ქერქის [MASK] მისი წარმოშობიდან დღემდე.",განვითარებას,განვითარებამ,განვითარება,0.05405175479611946,4.209514733802515,0.05700459703803063,4.13277792213692,4.609004088195749e-05,14.405185427088325,0.79
6,wiki_healthcare_01426,8,"იგი სისტემატურად აქვეყნებს სხვადასხვა სახის დიდძალ სტატისტიკურ [MASK] (მაგ. შობადობას, ეპიდემიებს, ტრავმატიზმს, სხვადასხვა დაავადებათა შესახებ).",ინფორმაციას,ინფორმაციამ,ინფორმაცია,0.9780063629150391,0.03208424349706124,0.004073963966220618,7.9393510647865435,3.504265996414392e-06,18.12245628036027,0.99
7,wiki_horticulture_01537,1,"[MASK] ადასტურებს კახეთში აღმოჩენილი ვაზის ნამგლისებრი სასხლავი, რომელიც ბრინჯაოსაგან იყო დამზადებული.",ამას,ამან,ეს,1.000000000000001e-12,39.86313713864835,1.000000000000001e-12,39.86313713864835,1.0474448882650887e-19,63.04975946491934,1.0
8,wiki_hydrology_01579,11,"თანამედროვე ჰიდროლოგია ფართოდ იყენებს გეოგრაფიულ, გეოფიზიკურ და სხვა მეცნიერულ [MASK], სულ უფრო იზრდება მათემატიკური მეთოდების როლი.",მეთოდებს,მეთოდებმა,მეთოდები,0.01526777555806158,6.033366306102558,0.00019081443756144447,12.355542045678309,3.329174910721975e-07,21.518331994333487,0.75
9,wiki_insurance_01648,8,დაზღვევის პირობები განისაზღვრება საბუთით — პოლისით — [MASK] სადაზღვევო კომპანია გასცემს.,რომელსაც,რომელმაც,რომელიც,0.23132973909378052,2.111977348216489,0.020501861348748207,5.608101292887717,8.487777813570575e-05,13.524253583435708,0.78
10,wiki_international_01694,7,ნეოლიბერალური საერთაშორისო ურთიერთობების მიმდევრები იყენებდნენ თამაშის [MASK] რათა აეხსნათ თუ რატომ არ თანამშრომლობენ სახელმწიფოები ერთმანეთთან.,თეორიას,თეორიამ,თეორია,1.9500305665154868e-07,22.289999925972705,2.0862706019829665e-07,22.192570367897765,8.136800402566074e-12,36.83867553713039,0.84
11,wiki_irrigation_01705,15,"მელიორაციული ჰიდროგეოლოგია — ჰიდროგეოლოგიის გამოყენებითი დარგი, რომელიც შეისწავლის და გამოიმუშავებს ჰიდროგეოლოგიური პირობების გაუმჯობესების [MASK], ნიადაგის ნაყოფიერების გაზრდის მიზნით.",მეთოდებს,მეთოდებმა,მეთოდები,8.472918955593382e-05,13.526781404844586,6.976199748142845e-06,17.129127220217157,1.128693951483612e-09,29.722698505637204,0.9
12,wiki_law_01749,18,"სამართალი — ბუნებით განპირობებული ადამიანთა უფლება-მოვალეობების განმსაზღვრელი ზოგადსავალდებულო ქცევის წესების ერთობლიობა და საზოგადოებრივი ურთიერთობების მოწესრიგების სისტემა, [MASK] ახასიათებს ნორმატიულობა, ფორმალური განსაზღვრულობა, სისტემურობა და მათი შესრულება სახელმწიფოებრივი ზემოქმედებით არის უზრუნველყოფილი.",რომელსაც,რომელმაც,რომელიც,0.9610934257507324,0.05725141590083155,0.001443771994672715,9.435941359699765,1.3561469131673215e-05,16.170126998457345,0.98
13,wiki_lexicology_01772,21,"ლექსიკოლოგია (ბერძნ. λεξικός (ლექსიკოს) - სიტყვისა და ლოგია) — ენათმეცნიერების დარგი, რომელიც შეისწავლის ენის ლექსიკურ [MASK], მის შემადგენლობას, ფუნქციონირებასა და ცვალებადობას.",ფონდს,ფონდმა,ფონდი,2.921600272892223e-07,21.706737859021754,8.68428315925484e-08,23.457017991944472,2.3480684320160172e-11,35.30973458885157,0.84
14,wiki_linguistics_01814,25,"მონათესავე ენათა შედარება გულისხმობს ლექსიკის (მარტივი ფუძეების ანუ ძირების), ბგერების (ფონემების), ფორმანტებისა და შესიტყვების (სინტაგმის) სტრუქტურის [MASK].",შესწავლას,შესწავლამ,შესწავლა,0.0007032188805494941,10.473738573986425,0.0007121392467932491,10.455553016143712,1.6646204180386818e-08,25.84023152080851,0.78
15,wiki_management_01889,20,"პროექტის მართვა (ინგლ. Project Management) წარმოადგენს აკადემიურ დისციპლინას, რომელიც უზრუნველყოფს დროითი, ადამიანური და მატერიალური რესურსების [MASK], ორგანიზებას, უსაფრთხოებასა და მართვას, რათა წარმატებით შესრულდეს პროექტის მიზნები.",დაგეგმვას,დაგეგმვამ,დაგეგმვა,1.2359898364328314e-10,32.91361406889043,2.0907362596786772e-14,45.442982246816925,1.3727594971690255e-16,52.69377062587664,0.85
16,wiki_metallurgy_02026,9,"ლითონმცოდნეობა, ლითონგრაფია — მეცნიერება, რომელიც შეისწავლის [MASK] ლითონებისა და შენადნობების შემადგენლობას, აგებულებასა და თვისებებს შორის, აგრეთვე მათი ცვალებადობის კანონზომიერებებს თბური, მექანიკური და სხვა ზემოქმედებათა შედეგად.",კავშირს,კავშირმა,კავშირი,5.5714375138393326e-09,27.419303241588562,6.567955279024318e-05,13.894196170547266,4.693367959478083e-12,37.632513566732136,0.78
17,wiki_metallurgy_02031,10,"ლითონებისა და შენადნობების შემადგენლობას, აგებულებასა და თვისებებს შორის [MASK] იკვლევს ლითონმცოდნეობა (ლითონგრაფია).",კავშირს,კავშირმა,კავშირი,1.6810074303071597e-06,19.182242467805654,0.014418939128518108,6.115891167382414,1.1461827591582557e-11,36.344371943200734,0.8
18,wiki_metaphysics_02051,2,არისტოტელე [MASK] ფილოსოფიის დარგთა შორის უმნიშვნელოვანესად თვლიდა და „პირველად ფილოსოფიას“ ეძახდა.,მას,მან,იგი,0.0038092932663857946,8.036260923598944,0.005472986958920954,7.513455865778385,0.0020419957581907506,8.935804415333505,0.67
19,wiki_physical_02464,6,"ქიმიური თერმოდინამიკა მიზნად ისახავს თერმოდინამიკის [MASK] ქიმიური რეაქციების, ფაზიკური გარდაქმნების (გახსნა, აორთქლება და სხვა).",გამოყენებას,გამოყენებამ,გამოყენება,5.1787788444792226e-05,14.237028523766002,0.0002474911452736705,11.980335470107857,9.101278713389074e-07,20.06742740858548,0.93
20,wiki_political_02555,5,"იგი იყენებს კვლევის სტრუქტურულ [MASK], რომელიც დამუშავდა მატემატიკაში, ფიზიკასა და ბუნების სხვა მეცნიერებებში.",მეთოდებს,მეთოდებმა,მეთოდები,0.00033640210788558905,11.537525634043911,1.8060980152303231e-06,19.0786923806861,1.7616342122465049e-09,29.080438461488665,0.75
21,wiki_politics_02578,2,მონეტარულ [MASK] ძირითადად წარმართავს ცენტრალური ბანკი მონეტარული პოლიტიკის ინსტრუმენტების მეშვეობით.,პოლიტიკას,პოლიტიკამ,პოლიტიკა,0.2650157098953514,1.9158502109989415,0.29523658752441406,1.7600565748129096,0.0005631301343609343,10.794244024735079,0.77
22,wiki_semiotics_02652,5,სინტაქტიკა სწავლობს ნიშნების ფორმალურ [MASK] შინაარსისგან დამოუკიდებლად.,სტრუქტურას,სტრუქტურამ,სტრუქტურა,1.8885224794709589e-07,22.336238707635857,2.924878372878938e-07,21.70512003079505,3.1382084349763578e-09,28.247411676912808,0.81
23,wiki_sociolinguistics_02704,1,"[MASK] იყენებს მოსახლეობის შედარებით მცირე ნაწილი, თუმცა იგი ძირითადში გასაგებია სტანდარტული ენის მატარებლებისთვის.",მას,მან,იგი,1.000000000000001e-12,39.86313713864835,1.000000000000001e-12,39.86313713864835,1.000000000000001e-12,39.86313713864835,1.0
24,wiki_sociology_02730,2,კონტი [MASK] სოციალურ სტატიკად და სოციალურ დინამიკად ყოფდა.,სოციოლოგიას,სოციოლოგიამ,სოციოლოგია,4.207944066805524e-09,27.824237325943166,4.56525967740195e-09,27.70665592923241,2.8472003525029468e-12,38.35359312207245,0.68
25,wiki_veterinary_02924,5,1932 წელს საქართველოს სასოფლო-სამეურნეო [MASK] გამოეყო ზოოტექნიკური ფაკულტეტი და მის ბაზაზე დაარსდა საქართველოს ზოოტექნიკურ-სავეტერინარო ინსტიტუტი ზოოტექნიკური და სავეტერინარო ფაკულტეტებით.,ინსტიტუტს,ინსტიტუტმა,ინსტიტუტი,1.4996244703566196e-05,16.025039202104338,0.0036081199068576093,8.114537000904054,6.727582631489658e-10,30.469192743006705,0.85
