Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat,p_form_ungrammatical_erg,I_form_ungrammatical_erg,certainty
0,wiki_cultural_00812,2,"კულტურათა [MASK] ეწოდება უშუალო კავშირურთიერთობის სახეს, რომელიც ყალიბდება, სულ მცირე, ორ კულტურას შორის, აგრეთვე ამ ურთიერთობათა შედეგად წარმოშობილ გავლენებსა და ორმხრივ ცვლილებებს.",ურთიერთქმედება,ურთიერთქმედებას,ურთიერთქმედებამ,1.4418503603424196e-05,16.081719029410156,1.4633755098102608e-08,26.026124739022585,2.818189204813119e-10,31.724512475734812,0.62
1,wiki_customs_00815,17,აზერბაიჯანის სახელმწიფო საბაჟო კომიტეტს (აზერ. Azərbaycan Respublikası Dövlət Gömrük Komitəsi) ეკისრება იმპორტ-ექსპორტის ოპერაციების საბაჟო [MASK] და საბაჟო ორგანიზაციების ფუნქციები აზერბაიჯანის რესპუბლიკაში.,კონტროლი,კონტროლს,კონტროლმა,0.029367772862315174,5.089622328344986,0.0015976751456037168,9.289810188955697,1.8533189047758185e-09,29.00724170346155,0.71
2,wiki_cybernetics_00846,27,"ხელოვნური ინტელექტი (ინგლ. artificial intelligence, შემოკლებით AI) — კომპიუტერული მეცნიერების დარგი, რომელიც მიზნად ისახავს ინტელექტუალურ კომპიუტერულ მანქანის/პროგრამის შექმნას რომელსაც ექნება [MASK] მიაღწიოს ადამიანის ინტელექტის გაგებას.",უნარი,უნარს,უნარმა,0.01958624459803104,5.674015383244727,0.00015505006012972444,12.654978294109469,1.0826526143327987e-07,23.13892625780734,0.67
3,wiki_documentary_00893,3,მუშნის არსებობას [MASK] ეკარგება და იგი ნოსტალგიით იტანჯება.,აზრი,აზრს,აზრმა,0.01087666116654873,6.522620432608997,0.00040864315815269947,11.256870799646684,2.0859120510121685e-09,28.8366745236662,0.62
4,wiki_entomology_01083,8,მატლს — მუხლუხოს აქვს მღრღნელი ტიპის პირის [MASK].,აპარატი,აპარატს,აპარატმა,8.323277000954471e-08,23.51827310786985,9.463495415119641e-15,46.58654827075608,8.854478453663853e-18,56.648298376091006,0.77
5,wiki_entomology_01088,7,უკანა ნაწლავს ეკუთვნის მსხვილი და სწორი [MASK].,ნაწლავი,ნაწლავს,ნაწლავმა,6.1964003631920056e-12,37.23170677577794,6.2032935212175016e-24,77.09323988677583,6.2032935212175016e-24,77.09323988677583,0.94
6,wiki_ethics_01132,6,"ეთიკის კოდექსს არ გააჩნია კანონის [MASK] და ემყარება ადამიანთა ჯგუფის მიერ დადგენილ წესებს, რომლებიც თავის მხრივ ითვალისწინებენ საზოგადოებაში დადგენილ მორალურ წესებს და საერთაშორისოდ აღიარებულ ნორმებს ამა თუ იმ სფეროში.",ძალა,ძალას,ძალამ,0.002064935164526105,8.919687800491996,2.659844824393076e-07,21.84215458299965,1.3154982677475778e-07,22.857887315452032,0.73
7,wiki_farming_01204,3,"დიდი სასურსათო [MASK] აქვს კვერცხს, რომლისთვისაც ამრავლებენ საკვერცხე მიმართულების ქათმებს.",მნიშვნელობა,მნიშვნელობას,მნიშვნელობამ,0.014370040968060499,6.1207920149430475,3.0885283194947995e-05,14.982720915250297,5.61342364021054e-08,24.08654381674764,0.68
8,wiki_geology_01367,3,გეოლოგიას მრავალსაუკუნოვანი [MASK] აქვს.,ისტორია,ისტორიას,ისტორიამ,0.002032890217378735,8.942251977556072,1.445983798475936e-05,16.077589086732406,1.1273091455340387e-07,23.080613459642915,0.71
9,wiki_geophysics_01392,18,"ეს იყო ხანა, როდესაც დედამიწის მაგნეტიზმს, მეტეოროლოგიას და დედამიწის შემსწავლელ სხვა დარგებს ფართო მასშტაბით ჩაეყარათ [MASK].",საფუძველი,საფუძველს,საფუძველმა,5.137841071700677e-06,17.57040630512972,1.2855213782358979e-08,26.213071156692045,4.259752508888779e-12,37.77236752617166,0.79
